Currency,Date,Buy Rate,Sell Rate
EUR,12/31/2024,298.4124,310.9446
EUR,12/30/2024,298.7874,311.3607
EUR,12/27/2024,299.5694,312.1994
EUR,12/26/2024,300.6499,313.3561
EUR,12/24/2024,302.0383,314.7878
EUR,12/23/2024,300.7847,313.385
EUR,12/20/2024,297.0973,310.0631
EUR,12/19/2024,296.5951,309.2495
EUR,12/18/2024,299.3621,312.0177
EUR,12/17/2024,299.5315,312.1716
EUR,12/16/2024,298.8615,311.3651
EUR,12/13/2024,297.4114,309.9249
EUR,12/12/2024,298.6163,311.168
EUR,12/11/2024,299.5175,312.1379
EUR,12/10/2024,300.0871,312.6552
EUR,12/9/2024,300.0925,312.6562
EUR,12/6/2024,300.6442,313.2189
EUR,12/5/2024,299.1412,311.7496
EUR,12/4/2024,298.6399,311.2806
EUR,12/3/2024,298.4979,311.1374
EUR,12/2/2024,299.547,312.312
EUR,11/29/2024,300.7865,313.5487
EUR,11/28/2024,300.7827,313.6529
EUR,11/27/2024,298.8263,311.6574
EUR,11/26/2024,298.4861,311.0545
EUR,11/25/2024,298.6713,311.49
EUR,11/22/2024,298.5399,311.3531
EUR,11/21/2024,300.7789,313.5205
EUR,11/20/2024,302.0364,314.9241
EUR,11/19/2024,302.1951,314.8819
EUR,11/18/2024,301.53,314.3002
EUR,11/14/2024,302.1709,314.9497
EUR,11/13/2024,304.3349,317.193
EUR,11/12/2024,305.256,318.1457
EUR,11/11/2024,307.384,320.2929
EUR,11/8/2024,309.2589,322.0729
EUR,11/7/2024,308.0019,320.9493
EUR,11/6/2024,309.4214,322.5061
EUR,11/5/2024,312.4666,325.5224
EUR,11/4/2024,312.6826,325.9593
EUR,11/1/2024,312.3265,325.4276
EUR,10/30/2024,311.2012,324.1502
EUR,10/29/2024,311.2077,324.0943
EUR,10/28/2024,310.3959,323.3231
EUR,10/25/2024,311.4261,324.3958
EUR,10/24/2024,310.1563,323.2757
EUR,10/23/2024,310.198,323.1562
EUR,10/22/2024,310.7552,323.7688
EUR,10/21/2024,312.067,325.0195
EUR,10/18/2024,311.0578,324.181
EUR,10/16/2024,313.1024,326.1357
EUR,10/15/2024,313.8758,326.7669
EUR,10/14/2024,313.4788,326.6996
EUR,10/11/2024,313.8162,327.0253
EUR,10/10/2024,314.3125,327.4318
EUR,10/9/2024,315.0441,328.233
EUR,10/8/2024,315.818,329.0168
EUR,10/7/2024,316.2927,329.4996
EUR,10/4/2024,317.6784,330.8477
EUR,10/3/2024,320.8731,333.91
EUR,10/2/2024,319.756,333.0031
EUR,10/1/2024,323.9347,336.7537
EUR,9/30/2024,325.8904,339.306
EUR,9/27/2024,328.2027,341.6487
EUR,9/26/2024,327.9902,341.4663
EUR,9/25/2024,332.0868,345.5367
EUR,9/24/2024,331.3373,345.0301
EUR,9/23/2024,333.5341,346.8839
EUR,9/20/2024,333.2533,346.8306
EUR,9/19/2024,330.5337,344.1145
EUR,9/18/2024,329.5167,343.1998
EUR,9/13/2024,326.8784,340.6888
EUR,9/12/2024,324.6701,338.2976
EUR,9/11/2024,325.1276,338.7564
EUR,9/10/2024,326.0106,339.8867
EUR,9/9/2024,324.8027,338.2972
EUR,9/6/2024,325.1748,338.8594
EUR,9/5/2024,324.4265,338.0145
EUR,9/4/2024,323.8793,337.3524
